timestamp,city,weather,weather description,temperature,humidity,pressure,wind speed,wind direction,clouds
2026-06-06 14:08:01.018743,new york,Clouds,overcast clouds,89.85,42,1008,15.99,241,88
2026-06-06 14:08:02.760374,los angeles,Clouds,overcast clouds,72.7,68,1011,1.99,231,100
2026-06-06 14:08:04.730831,san francisco,Clouds,overcast clouds,61.9,58,1011,13,20,92
2026-06-06 14:08:07.142161,boston,Clouds,overcast clouds,85.68,51,1007,5.01,252,100
2026-06-06 14:08:08.579298,toronto,Clouds,scattered clouds,75.25,63,1006,11.01,286,39
2026-06-06 14:08:09.793204,mexico city,Rain,light rain,77.49,36,1010,2.37,74,100
2026-06-06 14:08:10.943274,london,Clouds,overcast clouds,57.38,89,1008,13,173,100
2026-06-06 14:08:12.845576,paris,Clouds,overcast clouds,65.89,54,1017,9.64,265,87
2026-06-06 14:08:14.906518,rome,Clouds,overcast clouds,84.74,49,1017,4.36,190,100
2026-06-06 14:08:16.536510,tokyo,Clouds,overcast clouds,61.88,92,1018,5.77,61,100
2026-06-06 14:08:17.745113,st. louis,Clouds,overcast clouds,87.06,63,1013,1.99,278,100
2026-06-06 14:08:20.744758,beijing,Clear,clear sky,58.84,71,1012,0.49,22,0
2026-06-06 14:08:21.224412,paris,Clouds,overcast clouds,65.89,54,1017,9.64,265,87
2026-06-06 14:08:21.923081,shanghai,Clouds,few clouds,71.28,77,1006,2.21,101,11
2026-06-06 14:08:24.097004,chicago,Clouds,broken clouds,76.6,72,1010,4.23,47,54
2026-06-06 14:08:25.262321,seoul,Clouds,overcast clouds,70.2,41,1010,4.65,100,100
2026-06-06 14:08:26.529964,berlin,Clouds,overcast clouds,69.22,54,1016,4,153,100
2026-06-06 14:08:28.034836,mumbai,Clouds,overcast clouds,87.84,70,1007,9.42,303,100
2026-06-06 14:08:30.158982,kansas city,Clouds,overcast clouds,82.35,71,1012,10,190,100
2026-06-06 14:08:32.183729,detroit,Clear,clear sky,84.81,57,1009,12.59,290,0
2026-06-06 14:10:20.804393,paris,Clouds,overcast clouds,65.89,54,1017,9.64,265,87
2026-06-06 14:12:20.217327,paris,Clouds,overcast clouds,65.89,54,1017,9.64,265,87
2026-06-06 14:13:41.989673,paris,Clouds,overcast clouds,65.89,54,1017,9.64,265,87
2026-06-06 14:15:49.347850,paris,Clouds,overcast clouds,65.89,54,1017,9.64,265,87
2026-06-06 14:17:49.396627,paris,Clouds,overcast clouds,65.89,54,1017,9.64,265,87
2026-06-06 14:20:46.257433,paris,Clouds,overcast clouds,65.89,54,1017,9.64,265,87
2026-06-06 14:21:49.306331,paris,Clouds,overcast clouds,65.89,54,1017,9.64,265,87
2026-06-06 14:23:49.321944,paris,Clouds,overcast clouds,65.89,54,1017,9.64,265,87
2026-06-06 14:25:49.302794,paris,Clouds,overcast clouds,65.89,54,1017,9.64,265,87
2026-06-06 14:27:49.311244,paris,Clouds,overcast clouds,63.32,61,1016,5.01,0,87
2026-06-06 14:28:38.356297,new york,Clouds,overcast clouds,89.76,42,1008,14,233,88
2026-06-06 14:28:39.529950,los angeles,Clouds,overcast clouds,72.41,67,1011,3,254,100
2026-06-06 14:28:40.679333,san francisco,Clouds,overcast clouds,61.83,59,1011,13,307,92
2026-06-06 14:28:41.849747,boston,Clouds,overcast clouds,85.01,51,1007,5.99,287,100
2026-06-06 14:28:43.009790,toronto,Clouds,scattered clouds,75.09,63,1006,10,20,39
2026-06-06 14:28:44.168007,mexico city,Clouds,overcast clouds,77.49,36,1010,2.37,74,100
2026-06-06 14:28:45.333542,london,Clouds,overcast clouds,57.09,89,1008,8.99,216,100
2026-06-06 14:28:46.495981,paris,Clouds,overcast clouds,63.32,61,1016,5.01,0,87
